mer_id,ratings,no_of_ratings,is_valid
1101,4.1,175,1
1102,4.1,169,1
1103,4.5,193,1
1104,3.5,11,1
1105,4.4,82,1
1106,4.2,31,1
1107,4.2,51,1
1108,4.4,729,1
1109,4.3,82,1
1110,3.8,27,1
1111,3.9,92,1
1112,5,1,1
1113,4.5,72,1
1114,4.5,362,1
1115,4.3,33,1
1116,4.1,74,1
1117,4.2,138,1
1118,4.3,944,1
1119,4.1,34,1
1120,5,7,1
1121,4.3,12,1
1122,3.6,36,1
1123,4.2,109,1
1124,3.5,63,1
1125,3.9,75,1
1126,4,54,1
1127,3.8,67,1
1128,4.5,213,1
1129,4.2,39,1
1130,4.2,58,1
1131,4.6,"2,319",1
1132,4.3,135,1
1133,3.8,41,1
1134,3.8,36,1
1135,4,62,1
1136,4.4,"1,084",1
1137,3.7,105,1
1138,3,26,1
1139,4.2,147,1
1140,3.7,7,1
1141,4.5,100,1
1142,3.3,3,1
1143,4,196,1
1144,3.9,142,1
1145,4.4,26,1
1146,4.5,78,1
1147,4.4,271,1
1148,3.6,4,1
1149,4.1,212,1
1150,4.1,16,1
1151,3.9,"1,163",1
1152,4.6,"10,750",1
1153,4.3,47,1
1154,4.5,"2,558",1
1155,4.2,146,1
1156,4.7,85,1
1157,4.2,50,1
1158,4.2,145,1
1159,3.9,12,1
1160,4.2,138,1
1161,4.6,558,1
1162,4.5,11,1
1163,3.9,64,1
1164,4.1,21,1
1165,5,5,1
1166,4.4,124,1
1167,3.5,3,1
1168,4,"6,619",1
1169,4.5,14,1
1170,4.2,56,1
1171,4,43,1
1172,4.7,53,1
1173,4,69,1
1174,3.9,43,1
1175,4,23,1
1176,3.4,5,1
1177,4.4,183,1
1178,4.2,285,1
1179,4.3,456,1
1180,4.5,204,1
1181,4.6,"10,430",1
1182,,,1
1183,5,1,1
1184,4.7,3,1
1185,4.6,"3,123",1
1186,3.9,22,1
1187,4.7,"2,714",1
1188,3.8,152,1
1189,3.9,168,1
1190,4,11,1
1191,4.7,13,1
1192,3.6,37,1
1193,3.5,111,1
1194,4.4,634,1
1195,3.9,125,1
1196,3.6,8,1
1197,,,1
1198,,,1
1199,4.1,54,1
1200,,,1
1201,2.6,9,1
1202,4.3,11,1
1203,4.6,760,1
1204,4.1,6,1
1205,,,1
1206,4.7,"1,280",1
1207,,,1
1208,4.2,26,1
1209,3.5,4,1
1210,4.1,54,1
1211,,,1
1212,,,1
1213,4.6,103,1
1214,3.8,22,1
1215,,,1
1216,4.8,7,1
1217,4.5,2,1
1218,,,1
1219,4.2,70,1
1220,3.1,21,1
1221,,,1
1222,3,3,1
1223,4.4,794,1
1224,,,1
1225,,,1
1226,2.9,20,1
1227,,,1
1228,,,1
1229,,,1
1230,4.1,9,1
1231,5,2,1
1232,,,1
1233,3.9,25,1
1234,3.3,10,1
1235,5,1,1
1236,,,1
1237,5,2,1
1238,4.6,5,1
1239,4.5,552,1
1240,,,1
1241,3.9,5,1
1242,,,1
1243,4.2,130,1
1244,4,1,1
1245,4.7,"3,226",1
1246,4.4,202,1
1247,3.9,8,1
1248,4.7,115,1
1249,2.7,27,1
1250,4.1,12,1
1251,4.3,8,1
1252,4.5,2,1
1253,4.5,141,1
1254,4.7,"3,825",1
1255,,,0
1256,4.2,18,1
1257,4.4,"3,700",1
1258,3.5,2,1
1259,,,1
1260,5,2,1
1261,,,1
1262,4.4,42,1
1263,5,1,1
1264,,,1
1265,3.7,3,1
1266,,,1
1267,5,5,1
1268,4.3,193,1
1269,,,1
1270,4.6,517,0
1271,4.5,9,0
1272,5,1,1
1273,3.3,6,0
1274,,,1
1275,5,2,1
1276,4.3,229,1
1277,3.7,8,1
1278,,,0
1279,,,1
1280,5,1,0
1281,5,3,1
1282,4.5,123,1
1283,4.5,75,1
1284,3.7,16,0
1285,2.7,2,0
1286,4.1,14,1
1287,3.5,8,1
1288,,,0
1289,4.4,9,1
1290,4.6,77,1
1291,4,29,0
1292,4.7,"1,305",1
1293,,,1
1294,3.2,31,0
1295,3.4,6,1
1296,3.4,16,1
1297,5,9,0
1298,4.5,2,0
1299,,,1
1300,3.4,4,0
1301,4.7,177,0
1302,4.4,2,0
1303,4.5,4,1
1304,,,1
1305,,,0
1306,4.5,546,1
1307,2.8,4,1
1308,3.7,14,1
1309,4.4,"1,416",0
1310,5,1,1
1311,,,1
1312,4.4,2,1
1313,3,1,0
1314,2.3,2,1
1315,4.6,"1,274",0
1316,,,1
1317,,,1
1318,3.8,4,1
1319,5,1,1
1320,4.1,5,1
1321,4.5,309,1
1322,,,1
1323,,,1
1324,,,1
1325,4.7,7,1
1326,3.8,7,1
1327,4.4,73,1
1328,5,2,0
1329,3.6,3,1
1330,5,1,1
1331,,,1
1332,,,0
1333,4,98,1
1334,5,3,0
1335,2.8,6,1
1336,4.7,197,1
1337,4.7,7,0
1338,,,1
1339,,,0
1340,3.8,4,1
1341,4.4,17,1
1342,3.9,6,0
1343,,,1
1344,4.5,"1,368",1
1345,4.5,"6,071",1
1346,4.6,62,1
1347,4.7,326,0
1348,3.2,6,1
1349,3.7,10,1
1350,3.9,26,1
1351,3.4,4,0
1352,,,0
1353,3.5,14,1
1354,4.7,950,1
1355,3,10,1
1356,5,3,1
1357,4.6,783,1
1358,4.2,742,1
1359,,,1
1360,4.7,361,1
1361,4,1,0
1362,2,1,1
1363,4.5,172,1
1364,4.4,73,1
1365,4.4,19,1
1366,,,0
1367,,,1
1368,3.7,14,1
1369,4,1,1
1370,4.5,155,1
1371,3.8,27,1
1372,4.6,2,0
1373,,,1
1374,4.5,9,1
1375,,,1
1376,,,1
1377,,,0
1378,3,1,0
1379,2,1,1
1380,2.7,2,1
1381,,,1
1382,4.1,5,1
1383,4.8,6,1
1384,3.4,13,0
1385,3.7,3,1
1386,4.6,"1,834",1
1387,4,18,1
1388,5,2,1
1389,4.7,52,0
1390,4,8,0
1391,5,3,1
1392,,,1
1393,3.9,26,1
1394,4.7,3,1
1395,3.6,4,0
1396,4.6,2,0
1397,4.6,249,0
1398,4.2,6,1
1399,4,3,1
1400,4.6,556,1
1401,4.6,473,1
1402,,,1
1403,3,1,1
1404,3.9,72,0
1405,3.2,4,0
1406,4.1,8,1
1407,5,2,1
1408,,,1
1409,3.5,3,1
1410,4.3,24,1
1411,4.5,261,0
1412,3.8,12,0
1413,4.7,"4,237",1
1414,4.6,20,1
1415,4,65,1
1416,4.7,"1,106",0
1417,2.9,7,1
1418,4.4,"5,332",1
1419,,,1
1420,4.7,77,1
1421,,,1
1422,5,7,1
1423,,,1
1424,3.9,426,1
1425,3.6,68,0
1426,4.3,9,1
1427,3.4,51,1
1428,3.6,"3,928",1
1429,4.7,2,1
1430,3.8,178,1
1431,3.8,20,1
1432,3.6,52,0
1433,3.6,327,1
1434,5,4,1
1435,3.9,128,1
1436,3.7,22,1
1437,,,1
1438,3.9,19,1
1439,3.8,4,0
1440,4.5,2,0
1441,3.9,149,1
1442,3.8,3,1
1443,,,1
1444,1,1,1
1445,3.4,46,1
1446,,,0
1447,,,1
1448,1.9,7,0
